Symbol,Current,5yr Low,% Above Low,Near Low?
INTU,296.76,293.67,1.1,True
TTD,19.95,19.74,1.1,True
CMCSA,23.82,23.13,3.0,True
CHTR,132.12,126.7,4.3,True
LULU,114.23,109.36,4.5,True
PYPL,41.29,38.22,8.0,True
CSGP,33.89,31.36,8.1,True
ROP,332.18,305.96,8.6,True
KHC,22.58,20.66,9.3,True
ADBE,251.44,224.13,12.2,False
PAYX,100.53,84.36,19.2,False
VRSK,181.73,152.22,19.4,False
CPRT,30.96,25.55,21.2,False
GEHC,64.67,52.72,22.7,False
KDP,30.53,24.61,24.1,False
MDLZ,62.04,49.76,24.7,False
ADP,231.95,173.51,33.7,False
ADSK,229.96,163.2,40.9,False
HON,213.97,144.89,47.7,False
SBUX,95.29,62.11,53.4,False
ZS,130.78,84.93,54.0,False
EXC,45.75,26.16,74.9,False
IDXX,562.16,317.06,77.3,False
XEL,79.04,43.31,82.5,False
TMUS,178.1,97.07,83.5,False
SNPS,464.85,247.87,87.5,False
MSFT,416.67,206.94,101.3,False
ISRG,422.06,180.07,134.4,False
FAST,46.79,19.93,134.8,False
TTWO,214.39,90.0,138.2,False
VRTX,446.83,176.36,153.4,False
ORLY,90.33,34.62,160.9,False
BKNG,165.84,63.33,161.9,False
MELI,1607.8,600.68,167.7,False
COST,971.87,357.28,172.0,False
PDD,85.07,23.21,266.5,False
NFLX,82.18,16.27,405.1,False
META,593.0,87.4,578.5,False
CEG,254.83,36.64,595.6,False
