Symbol,Name,Score,FCF,EPS Trend,D/E,Analyst,Revenue,Trap?,FCF_score,EPS_score,Debt_score,Ana_score,Rev_score
INTU,Intuit Inc.,14,$5.2B ↑,$16.38 ↑,0.3x,Buy,+71.2% YoY ↑,,3,3,3,3,2
CSGP,"CoStar Group, Inc.",14,$0.2B ↑,$0.07 ↑,0.1x,Buy,+11.3% YoY ↑,,3,3,3,3,2
NKE,"Nike, Inc.",13,$1.3B ↑,$1.52 ↑,0.8x,Buy,+3.9% YoY ↑,,3,3,2,3,2
LULU,lululemon athletica inc.,13,$1.1B ↑,$12.35 ↑,0.4x,Hold,+26.8% YoY ↑,,3,3,3,2,2
FIS,Fidelity National Information S,13,$2.4B ↑,$5.16 ↑,1.3x,Buy,+14.5% YoY ↑,,3,3,2,3,2
MKC,"McCormick & Company, Incorporat",13,$0.4B ↑,$6.10 ↑,0.7x,Buy,+10.0% YoY ↑,,3,3,2,3,2
MKTX,"MarketAxess Holdings, Inc.",11,$-0.3B (neg),$8.44 ↑,0.2x,Buy,+3.4% YoY ↑,,0,3,3,3,2
AMCR,Amcor plc,11,$0.1B ↓,$1.25 ↑,1.4x,Buy,+5.0% YoY ↑,,1,3,2,3,2
PYPL,"PayPal Holdings, Inc.",11,$4.1B ↑,$5.33 ↑,0.6x,Hold,+1.9% YoY →,,3,3,2,2,1
ROP,"Roper Technologies, Inc.",11,$2.2B ↑,$16.01 ↑,0.6x,None,+4.9% YoY ↑,,3,3,2,1,2
CAG,"ConAgra Brands, Inc.",9,$0.7B ↑,$-0.10 (neg),0.9x,Hold,+6.5% YoY ↑,,3,0,2,2,2
GPN,Global Payments Inc.,9,$7.1B ↓,$2.72 ↓,1.0x,Buy,+23.7% YoY ↑,,1,1,2,3,2
GIS,"General Mills, Inc.",8,$2.3B ↑,$4.09 ↓,2.2x,Hold,+2.5% YoY →,,3,1,1,2,1
KMB,Kimberly-Clark Corporation,8,$1.1B →,$5.17 ↑,3.7x (high),Hold,-0.8% YoY →,,2,3,0,2,1
CMCSA,Comcast Corporation,8,$4.0B ↓,$5.10 ↓,1.1x,Hold,+3.7% YoY ↑,,1,1,2,2,2
KHC,The Kraft Heinz Company,7,$3.2B →,$-4.86 (neg),0.5x,Hold,-1.5% YoY →,,2,0,2,2,1
CHTR,"Charter Communications, Inc.",7,$2.4B ↓,$36.95 ↑,4.6x (high),Hold,-0.9% YoY →,,1,3,0,2,1
FMC,FMC Corporation,7,$0.0B ↑,$-19.62 (neg),2.5x,None,+15.6% YoY ↑,,3,0,1,1,2
POOL,Pool Corporation,7,$0.2B ↓,$10.87 ↓,1.4x,Buy,-34.5% YoY ↓,,1,1,2,3,0
EPAM,"EPAM Systems, Inc.",7,$0.7B ↓,$6.96 →,8.4x (high),Buy,+2.2% YoY →,,1,2,0,3,1
JKHY,"Jack Henry & Associates, Inc.",6,$0.4B ↓,$7.16 ↓,6.4x (high),Buy,-0.4% YoY →,,1,1,0,3,1
TSCO,Tractor Supply Company,6,$0.4B ↓,$2.03 ↓,2.5x,Buy,-8.2% YoY ↓,,1,1,1,3,0
MOS,Mosaic Company (The),6,$-0.3B (neg),$0.14 ↓,0.5x,Hold,-7.5% YoY ↓,,0,1,3,2,0
GPC,Genuine Parts Company,6,$0.8B ↓,$0.44 ↓,1.5x,None,-1.2% YoY →,,1,1,2,1,1
ZTS,Zoetis Inc.,6,$1.8B ↓,$6.10 ↓,2.9x,Buy,-4.3% YoY ↓,,1,1,1,3,0
TAP,Molson Coors Beverage Company,5,$0.8B ↓,$-10.55 (neg),0.6x,Hold,-18.8% YoY ↓,⚠ Trap,1,0,2,2,0
LKQ,LKQ Corporation,5,$0.8B ↓,$2.00 ↓,0.8x,None,-5.0% YoY ↓,⚠ Trap,1,1,2,1,0
