Symbol,Current,5yr Low,% Above Low,Near Low?
JKHY,130.11,129.25,0.7,True
INTU,296.76,293.67,1.1,True
MKTX,116.93,115.55,1.2,True
FIS,40.95,40.33,1.5,True
FMC,11.64,11.41,2.0,True
CMCSA,23.82,23.13,3.0,True
CAG,13.01,12.53,3.8,True
CHTR,132.12,126.7,4.3,True
GIS,33.15,31.75,4.4,True
LULU,114.23,109.36,4.5,True
NKE,42.98,40.98,4.9,True
TSCO,29.78,28.36,5.0,True
MKC,47.24,44.82,5.4,True
GPN,66.32,62.45,6.2,True
LKQ,25.22,23.7,6.4,True
AMCR,38.13,35.66,6.9,True
TAP,39.06,36.41,7.3,True
POOL,185.52,172.68,7.4,True
MOS,22.24,20.68,7.5,True
PYPL,41.29,38.22,8.0,True
CSGP,33.89,31.36,8.1,True
ROP,332.18,305.96,8.6,True
KMB,99.04,91.17,8.6,True
GPC,98.15,89.8,9.3,True
KHC,22.58,20.66,9.3,True
ZTS,79.44,72.38,9.8,True
EPAM,98.04,89.25,9.8,True
AVY,155.18,140.82,10.2,False
ZBH,87.33,79.12,10.4,False
CPB,21.68,19.56,10.8,False
TYL,312.07,281.11,11.0,False
CLX,94.14,84.7,11.1,False
ABT,91.07,81.97,11.1,False
ADBE,251.44,224.13,12.2,False
STZ,140.91,124.8,12.9,False
LW,42.12,37.29,13.0,False
COO,67.34,58.89,14.3,False
ACN,178.25,155.82,14.4,False
DHR,184.3,160.93,14.5,False
DPZ,313.99,273.5,14.8,False
BF-B,26.16,22.61,15.7,False
AWK,124.47,106.9,16.4,False
PEP,141.92,121.55,16.8,False
IT,164.02,139.18,17.8,False
CTSH,53.21,45.16,17.8,False
BRO,58.86,49.7,18.4,False
SJM,103.54,87.28,18.6,False
WY,24.48,20.6,18.8,False
PAYX,100.53,84.36,19.2,False
ZBRA,232.11,194.59,19.3,False
VRSK,181.73,152.22,19.4,False
HRL,23.62,19.7,19.9,False
OTIS,70.34,58.64,19.9,False
BDX,151.16,125.46,20.5,False
TECH,51.99,43.12,20.6,False
CPRT,30.96,25.55,21.2,False
EFX,172.13,141.75,21.4,False
PODD,153.22,125.82,21.8,False
BR,151.34,123.65,22.4,False
CMG,29.34,23.93,22.6,False
GEHC,64.67,52.72,22.7,False
TMO,472.8,384.44,23.0,False
BAX,19.38,15.72,23.3,False
KDP,30.53,24.61,24.1,False
NVO,42.96,34.58,24.2,False
MTD,1154.33,928.5,24.3,False
BBWI,17.43,14.0,24.5,False
RVTY,98.37,78.96,24.6,False
MDLZ,62.04,49.76,24.7,False
IFF,73.01,58.02,25.8,False
CCI,94.49,73.99,27.7,False
BALL,52.92,41.21,28.4,False
MDT,81.67,63.48,28.7,False
HD,310.78,238.64,30.2,False
PPG,113.8,87.35,30.3,False
GDDY,84.38,64.65,30.5,False
SYY,76.29,58.1,31.3,False
AOS,57.2,43.39,31.8,False
PG,146.54,110.84,32.2,False
MAA,137.54,103.83,32.5,False
IP,33.61,25.36,32.5,False
VLTO,86.05,64.79,32.8,False
MTCH,34.42,25.78,33.5,False
VICI,27.86,20.85,33.6,False
ADP,231.95,173.51,33.7,False
LOW,210.74,157.08,34.2,False
MHK,102.86,76.02,35.3,False
PFE,26.04,19.19,35.7,False
TRMB,54.19,39.57,36.9,False
STE,212.35,154.18,37.7,False
HSY,184.58,133.77,38.0,False
AMT,194.12,140.48,38.2,False
BSX,48.55,34.98,38.8,False
AVB,189.72,136.17,39.3,False
OMC,75.31,53.9,39.7,False
ADSK,229.96,163.2,40.9,False
UDR,39.2,27.72,41.4,False
MCD,279.84,197.3,41.8,False
PTC,137.0,96.55,41.9,False
CL,88.58,61.99,42.9,False
J,122.55,85.55,43.3,False
TROW,105.99,73.86,43.5,False
TSN,58.73,40.87,43.7,False
EQR,68.19,47.43,43.8,False
CHD,96.74,67.04,44.3,False
APD,282.35,193.92,45.6,False
EW,85.96,58.93,45.9,False
HOLX,76.01,51.9,46.5,False
PSA,309.68,210.7,47.0,False
HON,213.97,144.89,47.7,False
WTW,263.54,178.16,47.9,False
CRM,185.66,124.51,49.1,False
CPT,112.6,75.21,49.7,False
ULTA,467.07,309.01,51.2,False
